AS7,The Defence Science and Technology Laboratory
AS24,National Aeronautics and Space Administration
AS37,US DoD Naval Surface Warfare Center
AS49,National Institute of Standards and Technology
AS50,Oak Ridge National Laboratory
AS70,National Library of Medicine
AS89,DoD Naval Undersea Warfare
AS102,U.S. National Science Foundation
AS127,Jet Propulsion Laboratory
AS138,United States Department of Defense (DoD)
AS147,United States Department of Defense (DoD)
AS224,Sikt (Uninett)
AS228,United States Department of Defense (DoD)
AS243,"""L3Harris Technologies", Inc."
AS273,United States Department of Defense (DoD)
AS288,European Space Agency (ESA)
AS293,ESnet
AS297,National Aeronautics and Space Administration
AS300,United States Department of Defense (DoD)
AS306,United States Department of Defense (DoD)
AS312,United States Department of Defense (DoD)
AS316,United States Department of Defense (DoD)
AS319,United States Department of Defense (DoD)
AS321,United States Department of Defense (DoD)
AS341,United States Department of Defense (DoD)
AS345,United States Department of Defense (DoD)
AS351,United States Department of Defense (DoD)
AS352,United States Department of Defense (DoD)
AS356,United States Department of Defense (DoD)
AS367,United States Department of Defense (DoD)
AS400,Air Force Systems Networking
AS518,United States Department of Defense (DoD)
AS542,Alberta Research Council
AS559,SWITCH
AS567,Los Nettos
AS571,United States Department of Defense (DoD)
AS600,OARnet
AS637,United States Department of Defense (DoD)
AS668,DoD High Performance Computing (Defense Research and Engineering Network)
AS683,Argonne National Laboratory
AS688,U.S. Department of Interior Bureau of Reclamation
AS745,Air Force Systems Networking
AS749,United States Department of Defense (DoD)
AS764,Prime Minister's Office
AS766,Entidad Publica Empresarial Red.es
AS786,Jisc Services Limited
AS818,Department of Communications
AS905,Waterloo regional police service
AS1226,California Department of Technology
AS1348,California Department of Transportation
AS1554,United States Department of Defense (DoD)
AS1556,United States Department of Defense (DoD)
AS1565,United States Department of Defense (DoD)
AS1569,United States Department of Defense (DoD)
AS1586,United States Department of Defense (DoD)
AS1733,United States Department of Defense (DoD)
AS1798,State of Oregon
AS1827,Manatee County Government
AS1837,The North Atlantic Treaty Organization
AS1955,KIFU (Governmental Info Tech Development Agency)
AS1998,State of Minnesota
AS2026,City of Helsinki
AS2384,Architect of the Capitol
AS2544,King County Gov
AS2576,U. S. Department of Transportation
AS2611,BELNET
AS2614,Agentia de Administrare a Retelei Nationale de Inform...
AS2633,National Academy of Sciences
AS2650,Executive Office Of The President
AS2665,Shared Services Canada
AS2675,Shared Services Canada
AS2727,"""Electric Plant Board of the City of Glasgow", Kentucky"
AS2769,State of Nebraska / Office of the CIO
AS2894,California Department of Water Resources
AS2920,Los Angeles County Office of Education
AS3136,State of WI Dept. of Administration
AS3219,Ministry of Local Government and Regional Development
AS3233,Institutul National de Cercetare-Dezvoltare in inform...
AS3240,Styrelsen for It og Læring
AS3401,"""City of Seattle", Dept. of Admin. Services"
AS3471,United States Department of Defense (DoD)
AS3477,National Oceanic and Atmospheric Administration
AS3527,National Institutes of Health
AS3562,Sandia National Laboratories
AS3635,"""U.S. Department of Commerce", Bureau of Economic Analysis"
AS3705,U.S. Government Publishing Office
AS3709,City of San Antonio
AS3766,Shared Services Canada
AS3926,Fairfax County Dept of Information Technology
AS4152,U.S. Department of Agriculture
AS4179,City of Los Angeles
AS4193,State of Washington
AS4211,Maricopa County Government
AS4454,State of Tennessee
AS4651,The Communications Authority of Thailand (CAT)
AS4758,National Informatics Centre
AS4782,Government Service Network
AS4820,Department of Communities and Justice
AS4859,The State Information Center of P.R.China
AS4894,City of Anaheim
AS4954,Carroll County Government
AS5108,City of Pasadena
AS5110,City of Vancouver
AS5132,United States Department of Defense (DoD)
AS5306,United States Department of Defense (DoD)
AS5498,Institution Central Information and Analytical Center...
AS5507,Magyarorszagi Internet Szolgaltatok Tanacsa Tudomanyo...
AS5542,"""Ministry of Health", Treatment and Medical Education"
AS5744,United States Patent and Trademark Office
AS5774,United States Postal Service
AS5831,United States Department of Defense (DoD)
AS5860,United States Department of Defense (DoD)
AS5972,United States Department of Defense (DoD)
AS6040,United States Department of Defense (DoD)
AS6122,Iowa Communications Network
AS6150,National Cancer Institute
AS6559,State of NC - State Telecommunications Services
AS6699,Federal State Budgetary Institution of Science 'N.N. ...
AS6733,Bundesinstitut fuer Arzneimittel und Medizinprodukte ...
AS6769,Kertinis valstybes telekomunikaciju centras
AS6849,"JSC """"Ukrtelecom"""""
AS6922,Texas Department of Information Resources
AS6966,U.S. Department of State
AS6989,Government Technology Services Inc.
AS7086,"""Mississippi", Department of Information Technology Ser..."
AS7194,City of Burbank
AS7417,Ministry of Economy
AS7465,PROCERGS - Cia de Processamento de Dados do RGS
AS7471,City of Darebin
AS7497,Computer Network Information Center of Chinese Academ...
AS7564,Korea Atomic Energy Research Institute
AS7773,South Dakota State Government
AS7872,United States Antarctic Program
